player,pos,salary,date
Joe Harris,SG/SF,4000,2018-02-27
Tyrone Wallace,SG/SF,4000,2018-02-27
Marco Belinelli,SG/SF,3900,2018-02-27
Jeff Green,SF/PF,3900,2018-02-27
Quincy Acy,PF/C,3900,2018-02-27
Marvin Williams,SF/PF,3900,2018-02-27
Michael Kidd-Gilchrist,SF,3900,2018-02-27
Maurice Harkless,SF/PF,3800,2018-02-27
Cody Zeller,C,3800,2018-02-27
Garrett Temple,SG/SF,3800,2018-02-27
Richaun Holmes,PF/C,3800,2018-02-27
Cedi Osman,SG/SF,3800,2018-02-27
Mike Scott,PF,3700,2018-02-27
Matthew Dellavedova,PG/SG,3700,2018-02-27
Cristiano Da Silva Felicio,PF/C,3700,2018-02-27
Jahlil Okafor,C,3700,2018-02-27
Evan Turner,SG/SF,3600,2018-02-27
Amir Johnson,PF/C,3600,2018-02-27
Kyle Korver,SG/SF,3600,2018-02-27
Tyler Zeller,C,3600,2018-02-27
Ian Mahinmi,C,3600,2018-02-27
Michael Carter-Williams,PG,3600,2018-02-27
Cameron Payne,PG/SG,3600,2018-02-27
Thon Maker,PF/C,3600,2018-02-27
Justin Jackson,SG/SF,3600,2018-02-27
Frank Mason III,PG,3600,2018-02-27
Wesley Johnson,SG/SF,3500,2018-02-27
Devin Harris,PG/SG,3500,2018-02-27
Robin Lopez,C,3500,2018-02-27
Trevor Booker,PF/C,3500,2018-02-27
Kosta Koufos,C,3500,2018-02-27
Jodie Meeks,SG,3500,2018-02-27
Dante Cunningham,SF/PF,3500,2018-02-27
Tim Frazier,PG,3500,2018-02-27
C.J. Williams,SG/SF,3500,2018-02-27
Jawun Evans,PG,3500,2018-02-27
Sterling Brown,SG,3500,2018-02-27
Vince Carter,SG/SF,3400,2018-02-27
Jose Calderon,PG,3400,2018-02-27
Tony Snell,SG/SF,3400,2018-02-27
Darrell Arthur,PF,3400,2018-02-27
Justin Anderson,SG/SF,3400,2018-02-27
Boban Marjanovic,C,3400,2018-02-27
Treveon Graham,SG/SF,3400,2018-02-27
Derrick Jones Jr.,SG/SF,3400,2018-02-27
Torrey Craig,SG/SF,3400,2018-02-27
Zach Collins,PF/C,3400,2018-02-27
Nik Stauskas,PG/SG,3300,2018-02-27
Noah Vonleh,PF/C,3300,2018-02-27
Sean Kilpatrick,PG/SG,3300,2018-02-27
Jerian Grant,PG,3300,2018-02-27
Pat Connaughton,SG/SF,3300,2018-02-27
Malik Beasley,PG/SG,3300,2018-02-27
Markelle Fultz,PG/SG,3300,2018-02-27
Jason Smith,PF/C,3200,2018-02-27
Sam Dekker,SF/PF,3200,2018-02-27
Guillermo Hernangomez,C,3200,2018-02-27
London Perrantes,PG,3200,2018-02-27
Jerryd Bayless,PG/SG,3100,2018-02-27
Iman Shumpert,PG/SG,3100,2018-02-27
Jordan Mickey,PF/C,3100,2018-02-27
Juan Hernangomez,SF/PF,3100,2018-02-27
Jeremy Lin,PG/SG,3000,2018-02-27
Patrick Beverley,PG/SG,3000,2018-02-27
Richard Jefferson,SF/PF,3000,2018-02-27
Omer Asik,C,3000,2018-02-27
Jason Terry,PG/SG,3000,2018-02-27
Luke Babbitt,SF/PF,3000,2018-02-27
Ramon Sessions,PG/SG,3000,2018-02-27
Kenneth Faried,PF/C,3000,2018-02-27
Marcus Thornton,PG,3000,2018-02-27
Mirza Teletovic,SF/PF,3000,2018-02-27
Timofey Mozgov,C,3000,2018-02-27
Udonis Haslem,PF/C,3000,2018-02-27
Brandon Rush,SG/SF,3000,2018-02-27
James Young,SG/SF,3000,2018-02-27
Dion Waiters,PG/SG,3000,2018-02-27
C.J. Wilcox,SG/SF,3000,2018-02-27
Meyers Leonard,PF/C,3000,2018-02-27
JaKarr Sampson,SF,3000,2018-02-27
Bruno Caboclo,SF/PF,3000,2018-02-27
Chris McCullough,PF/C,3000,2018-02-27
Jack Cooley,PF,3000,2018-02-27
