,p1,p2,p3,team,date,venue
265,hardeja01,arizatr01,howardw01,Team.HOUSTON_ROCKETS,1/18/16,Location.AWAY
266,thomais02,turneev01,bradlav01,Team.BOSTON_CELTICS,1/18/16,Location.AWAY
267,barnema02,randoza01,allento01,Team.MEMPHIS_GRIZZLIES,1/18/16,Location.HOME
268,morrima03,caldwke01,drumman01,Team.DETROIT_PISTONS,1/18/16,Location.HOME
269,horfoal01,millspa01,korveky01,Team.ATLANTA_HAWKS,1/18/16,Location.HOME
270,lillada01,mccolcj01,aminual01,Team.PORTLAND_TRAIL_BLAZERS,1/18/16,Location.AWAY
271,whiteha01,boshch01,denglu01,Team.MIAMI_HEAT,1/19/16,Location.HOME
272,duranke01,westbru01,ibakase01,Team.OKLAHOMA_CITY_THUNDER,1/19/16,Location.AWAY
273,cunnida01,holidjr01,davisan02,Team.NEW_ORLEANS_PELICANS,1/19/16,Location.HOME
274,georgpa01,ellismo01,turnemy01,Team.INDIANA_PACERS,1/19/16,Location.AWAY
275,antetgi01,parkeja01,middlkh01,Team.MILWAUKEE_BUCKS,1/19/16,Location.AWAY
276,bookede01,tuckepj01,lenal01,Team.PHOENIX_SUNS,1/19/16,Location.HOME
277,harriga01,mudiaem01,bartowi01,Team.DENVER_NUGGETS,1/19/16,Location.HOME
278,wiggian01,townska01,rubiori01,Team.MINNESOTA_TIMBERWOLVES,1/19/16,Location.AWAY
279,gortama01,walljo01,templga01,Team.WASHINGTON_WIZARDS,1/20/16,Location.HOME
280,gasolpa01,butleji01,mcderdo01,Team.CHICAGO_BULLS,1/20/16,Location.HOME
