,p1,p2,p3,team,date,venue
2786,Spencer Dinwiddie,Jarrett Allen,Rondae Hollis-Jefferson,Team.BROOKLYN_NETS,1/17/2018,Location.HOME
2787,Tyreke Evans,Deyonta Davis,JaMychal Green,Team.MEMPHIS_GRIZZLIES,1/17/2018,Location.HOME
2788,Buddy Hield,Willie Cauley-Stein,Bogdan Bogdanovi?,Team.SACRAMENTO_KINGS,1/17/2018,Location.HOME
2789,Will Barton,Mason Plumlee,Gary Harris,Team.DENVER_NUGGETS,1/17/2018,Location.AWAY
2790,Donovan Mitchell,Derrick Favors,Rodney Hood,Team.UTAH_JAZZ,1/17/2018,Location.AWAY
2791,Bradley Beal,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/19/2018,Location.AWAY
2792,Goran Dragi?,Kelly Olynyk,Josh Richardson,Team.MIAMI_HEAT,1/19/2018,Location.AWAY
2793,Courtney Lee,Enes Kanter,Kristaps Porzi??is,Team.NEW_YORK_KNICKS,1/19/2018,Location.AWAY
2794,Jordan Clarkson,Larry Nance,Julius Randle,Team.LOS_ANGELES_LAKERS,1/19/2018,Location.HOME
2795,Ish Smith,Andre Drummond,Tobias Harris,Team.DETROIT_PISTONS,1/19/2018,Location.HOME
2796,Victor Oladipo,Domantas Sabonis,Thaddeus Young,Team.INDIANA_PACERS,1/19/2018,Location.AWAY
2797,DeMar DeRozan,Jonas Valan?i?nas,Kyle Lowry,Team.TORONTO_RAPTORS,1/19/2018,Location.HOME
2798,Kyle Anderson,LaMarcus Aldridge,Pau Gasol,Team.SAN_ANTONIO_SPURS,1/19/2018,Location.AWAY
2799,Spencer Dinwiddie,Jarrett Allen,Rondae Hollis-Jefferson,Team.BROOKLYN_NETS,1/19/2018,Location.HOME
2800,Tyreke Evans,Marc Gasol,Dillon Brooks,Team.MEMPHIS_GRIZZLIES,1/19/2018,Location.HOME
2801,Devin Booker,Alex Len,T.J. Warren,Team.PHOENIX_SUNS,1/19/2018,Location.AWAY
2802,Buddy Hield,Willie Cauley-Stein,Bogdan Bogdanovi?,Team.SACRAMENTO_KINGS,1/19/2018,Location.AWAY
2803,Will Barton,Nikola Joki?,Jamal Murray,Team.DENVER_NUGGETS,1/19/2018,Location.HOME
2804,Donovan Mitchell,Derrick Favors,Rudy Gobert,Team.UTAH_JAZZ,1/19/2018,Location.HOME
2805,Bradley Beal,Marcin Gortat,Otto Porter,Team.WASHINGTON_WIZARDS,1/22/2018,Location.AWAY
2806,Denzel Valentine,Lauri Markkanen,Bobby Portis,Team.CHICAGO_BULLS,1/22/2018,Location.AWAY
2807,Jrue Holiday,Anthony Davis,DeMarcus Cousins,Team.NEW_ORLEANS_PELICANS,1/22/2018,Location.HOME
2808,Khris Middleton,John Henson,Malcolm Brogdon,Team.MILWAUKEE_BUCKS,1/22/2018,Location.HOME
2809,Wayne Ellington,Hassan Whiteside,Bam Adebayo,Team.MIAMI_HEAT,1/22/2018,Location.AWAY
2810,Jeff Teague,Karl-Anthony Towns,Andrew Wiggins,Team.MINNESOTA_TIMBERWOLVES,1/22/2018,Location.AWAY
2811,Ben Simmons,Joel Embiid,Dario ?ari?,Team.PHILADELPHIA_76ERS,1/22/2018,Location.AWAY
2812,J.J. Barea,Dwight Powell,Harrison Barnes,Team.DALLAS_MAVERICKS,1/22/2018,Location.HOME
